cycle,ECG_a_P,ECG_P_b,ECG_b_c,ECG_c_Q,ECG_Q_R,ECG_R_S,ECG_S_d,ECG_d_e,ECG_e_T,ECG_T_f,ECG_S_T,ECG_P_peak,ECG_Q_peak,ECG_R_peak,ECG_S_peak,ECG_T_peak,ECG_RRI,TYPE,PR_interval,PR_segment,QRS_complex,ST_segment,QT_interval
0.031,0.039,0.099,0.016,0.037,0.029,0.043,0.108,0.043,0,0.194,0.155334,-0.124054,0.602417,-0.42984,0.177765,0.861,normal,0.169,0.099,0.224,0.108,0.276,
0.03,0.053,0.041,0.001,0.06,0.029,0.014,0.198,0.037,0,0.249,0.083645,-0.030019,0.943015,-0.399743,0.16054,1.084,normal,0.124,0.041,0.145,0.198,0.339,
0.03,0.042,0.009,0.007,0.052,0.031,0.045,0.168,0.03,0,0.243,0.065918,-0.066681,1.11649,-0.542297,0.041046,1.102,normal,0.081,0.009,0.144,0.168,0.333,
0.045,0.053,0.047,0.001,0.06,0.024,0.057,0.194,0.033,0,0.284,0.068665,-0.019226,0.709686,-0.455475,0.092926,0.984,normal,0.145,0.047,0.189,0.194,0.369,
0.055,0.093,0.001,0.06,0.022,0.048,0.214,0.031,0,0.293,0.068817,-0.018921,0.696716,-0.457611,0.06134,0.939,normal,0.184,0.093,0.224,0.214,0.376,,
0.068,0.051,0.001,0.059,0.027,0.047,0.153,0.042,0,0.242,0.095367,-0.031738,1.38,-0.971985,0.144348,0.935,normal,0.164,0.051,0.185,0.153,0.329,,
46,0.038,0.051,0.062,0.003,0.06,0.04,0.072,0.067,0.046,0.112,0.185,0.075836,-0.026398,0.306854,-0.290833,0.171204,0.872,stroke,0.151,0.062,0.237,0.067,0.4
21,0.031,0.039,0.064,0.001,0.058,0.031,0.089,0.085,0.045,0,0.219,0.078125,-0.034027,1.36047,-0.67337,0.185852,1.001,stroke,0.134,0.064,0.243,0.085,0.309
74,0.032,0.033,0.172,0.003,0.057,0.023,0.002,0.227,0.031,0,0.26,0.015259,-0.004578,0.032044,-0.019836,0.018311,0.782,stroke,0.237,0.172,0.257,0.227,0.343
0.052,0.062,0.042,0.011,0.031,0.033,0.199,,0.199,0,0.229,0.149231,-0.098572,1.31348,-0.564423,0.288544,0.919,normal,0.156,0.042,0.316,,,
0.039,0.042,0.079,0.014,0.029,0.047,0.031,0.146,0.083,0,0.26,0.037384,-0.04364,0.923157,-0.16571,0.146942,0.967,normal,0.16,0.079,0.2,0.146,0.35,
19,0.041,0.047,0.023,0.006,0.057,0.028,0.06,0.152,0.03,0,0.242,0.084991,-0.085297,1.36948,-0.76004,0.104675,0.964,stroke,0.111,0.023,0.174,0.152,0.333
0.037,0.056,0.081,0.014,0.029,0.029,0.097,0.116,0.033,0,0.246,0.061581,-0.044131,0.861698,-0.499669,0.056188,1.027,normal,0.174,0.081,0.25,0.116,0.318,
0.035,0.059,0.001,0.06,0.033,0.002,0.307,0.076,0,0.385,0.080566,-0.06073,1.11526,-0.555115,0.056458,0.848,normal,0.14,0.059,0.155,0.307,0.479,,
0.031,0.042,0.174,0.008,0.048,0.027,0.026,0.176,0.032,0,0.234,0.056152,0.019684,0.722809,-0.212555,0.166016,0.938,normal,0.247,0.174,0.283,0.176,0.317,
37,0.034,0.052,0.074,0.002,0.06,0.038,0.008,0.214,0.039,0,0.261,0.05661,-0.045776,0.958099,-0.1828,0.049133,0.915,stroke,0.16,0.074,0.182,0.214,0.361
0.03,0.069,0.009,0.031,0.026,0.037,0.184,0.03,0,0.251,0.092316,-0.124969,2.18643,-0.797272,0.201569,0.852,normal,0.129,0.069,0.172,0.184,0.317,,
51,0.2,0.087,0.048,0.001,0.059,0.023,0.074,0.085,0.049,0,0.208,0.282236,-0.266658,1.24386,-0.556226,0.174664,0.459,stroke,0.335,0.048,0.205,0.085,0.291
0.056,0.078,0.007,0.001,0.06,0.031,0.127,0.003,0.11,0,0.24,0.096587,-0.058913,0.956812,-0.378961,0.144953,0.755,normal,0.141,0.007,0.226,0.003,0.332,
0.031,0.031,0.068,0.009,0.028,0.039,0.011,0.168,0.031,0,0.21,0.09964,-0.123291,2.17819,-0.584259,0.256042,0.874,normal,0.13,0.068,0.155,0.168,0.286,
0.044,0.054,0.047,0.018,0.03,0.055,0.189,,0.191,0,0.191,0.10025,-0.148621,1.12869,-0.241547,0.185852,0.849,normal,0.145,0.047,0.339,,,
6,0.057,0.065,,0.002,0.06,0.028,0.066,0.155,0.086,0,0.307,0.105286,-0.124207,0.691986,-0.610809,0.158997,0.779,stroke,,,,0.155,0.397
0.032,0.033,0.139,0.001,0.029,0.026,0.002,0.106,0.031,0,0.139,0.016785,-0.001526,0.036621,-0.012207,0.016785,0.965,normal,0.204,0.139,0.197,0.106,0.195,
0.044,0.06,0.009,0.003,0.052,0.027,0.034,0.166,0.031,0,0.231,0.107727,-0.087433,0.816498,-0.503082,0.090485,0.853,normal,0.113,0.009,0.125,0.166,0.313,
0.03,0.03,0.071,0.008,0.059,0.025,0.026,0.185,0.03,0,0.241,0.084228,-0.026093,0.980682,-0.445862,0.305328,0.904,normal,0.131,0.071,0.189,0.185,0.333,
0.03,0.03,0.053,0.009,0.06,0.022,0.013,0.233,0.03,0,0.276,0.107117,-0.085297,0.712891,-0.429535,0.21698,0.933,normal,0.113,0.053,0.157,0.233,0.367,
