cycle,ECG_a_P,ECG_P_b,ECG_b_c,ECG_c_Q,ECG_Q_R,ECG_R_S,ECG_S_d,ECG_d_e,ECG_e_T,ECG_T_f,ECG_S_T,ECG_P_peak,ECG_Q_peak,ECG_R_peak,ECG_S_peak,ECG_T_peak,ECG_RRI,TYPE,PR_interval,PR_segment,QRS_complex,ST_segment,QT_interval
64,0.031,0.05,0.249,0.012,0.026,0.027,0.152,0.347,0.031,0,0.53,0.081177,-0.091095,1.56738,-0.667572,1.65314,0.556,stroke,0.33,0.249,0.466,0.347,0.595
3,0.031,0.033,0.094,0.001,0.059,0.028,0.075,0.139,0.031,0,0.245,0.048828,-0.04364,0.86319,-0.359344,0.094757,0.945,stroke,0.158,0.094,0.257,0.139,0.333
20,0.038,0.032,0.119,0.01,0.029,0.031,0.117,0.045,0.057,0,0.219,0.058899,-0.058136,1.41678,-0.544281,0.093079,0.806,stroke,0.189,0.119,0.306,0.045,0.289
0.031,0.031,,0.011,0.029,0.042,0.049,0.114,0.031,0,0.194,0.027466,-0.004578,0.810699,-0.259094,0.119934,0.694,normal,,,,0.114,0.276,
25,0.032,0.048,0.093,0.008,0.037,0.026,0.001,0.168,0.041,0,0.21,0.071106,-0.00946,1.01685,-0.300446,0.203094,1.075,stroke,0.173,0.093,0.165,0.168,0.281
29,0.048,0.066,0.042,0.006,0.033,0.031,0.042,0.148,0.032,0,0.222,0.055847,-0.07309,0.409851,-0.560303,0.076904,0.749,stroke,0.156,0.042,0.154,0.148,0.292
25,0.033,0.069,0.044,0.022,0.034,0.037,0.145,0.106,0.03,0,0.281,0.073547,-0.212708,1.37268,-0.437469,0.131989,1.053,stroke,0.146,0.044,0.282,0.106,0.374
0.051,0.063,0.042,0.012,0.028,0.054,0.054,0.112,0.042,0,0.208,0.056458,-0.072479,0.751648,-0.535431,0.186005,0.857,normal,0.156,0.042,0.19,0.112,0.302,
0.052,0.055,0.06,0.001,0.06,0.022,0.049,0.182,0.035,0,0.266,0.097656,-0.045624,1.31912,-0.953979,0.217438,1.043,normal,0.167,0.06,0.192,0.182,0.349,
0.049,0.031,0.082,0.014,0.027,0.041,0.084,0.001,0.079,0,0.164,0.058899,-0.119171,1.47812,-0.505676,0.097809,0.704,stroke,0.162,0.082,0.248,0.001,0.246,
1,0.039,0.038,0.077,0.002,0.059,0.023,0.063,0.148,0.046,0,0.257,0.048828,-0.005341,0.755005,-0.3685,0.080719,0.891,stroke,0.154,0.077,0.224,0.148,0.341
40,0.032,0.054,0.028,0.007,0.059,0.034,0.102,0.011,0.108,0,0.221,0.110016,-0.036469,1.20682,-0.52063,0.161133,0.925,stroke,0.114,0.028,0.23,0.011,0.321
0.031,0.064,0.083,0.002,0.054,0.025,0.054,0.087,0.091,0,0.232,0.117493,-0.007172,1.25488,-0.461578,0.371552,0.973,normal,0.178,0.083,0.218,0.087,0.313,
16,0.049,0.077,0.074,0.013,0.032,0.027,0.017,0.188,0.044,0,0.249,0.046387,-0.031433,0.663452,-0.233765,0.102844,0.72,stroke,0.2,0.074,0.163,0.188,0.321
43,0.065,0.037,0.04,0.001,0.059,0.026,0.082,0.024,0.141,0,0.247,0.107574,-0.016327,1.21399,-0.497131,0.232239,0.894,stroke,0.142,0.04,0.208,0.024,0.333
0.043,0.055,0.036,0.001,0.06,0.027,0.046,0.003,0.04,0,0.089,0.070953,-0.058289,0.632935,-0.437164,0.066223,0.902,normal,0.134,0.036,0.17,0.003,0.177,
0.033,0.031,0.109,0.019,0.023,0.024,0.116,0.001,0.102,0,0.219,0.024719,-0.199585,1.25626,-0.204926,0.141754,0.646,normal,0.173,0.109,0.291,0.001,0.285,
38,0.074,0.06,0.055,0.001,0.06,0.026,0.045,0.16,0.04,0,0.245,0.073395,-0.036621,0.385132,-0.430145,0.058594,0.954,stroke,0.189,0.055,0.187,0.16,0.332
35,0.031,0.061,0.022,0.001,0.056,0.033,0.024,0.109,0.055,0,0.188,0.066376,-0.046234,0.698853,-0.292816,0.039673,0.812,stroke,0.114,0.022,0.136,0.109,0.278
25,0.042,0.03,0.122,0.024,0.023,0.04,0.015,0.197,0.031,0,0.243,0.075684,-0.126648,0.738525,-0.129395,0.085449,0.861,stroke,0.194,0.122,0.224,0.197,0.33
32,0.031,0.031,0.184,0.021,0.035,0.023,0.065,0.037,0.073,0,0.175,0.029907,-0.014038,0.823517,-0.391541,0.082855,0.465,stroke,0.246,0.184,0.328,0.037,0.254
16,0.042,0.038,0.15,0.014,0.03,0.025,0.032,0.011,0.033,0,0.076,0.115051,-0.036926,0.75882,-0.584106,0.131989,1.063,stroke,0.23,0.15,0.251,0.011,0.145
59,0.037,0.048,0.013,0.001,0.059,0.031,0.2,,0.2,0,0.207,0.10498,-0.075989,1.1969,-0.698547,0.144501,0.725,stroke,0.098,0.013,0.304,,
0.031,0.031,0.12,0.008,0.045,0.055,0.009,0.185,0.031,0,0.225,0.12558,-0.043335,1.32874,-0.355225,0.229645,0.989,normal,0.182,0.12,0.237,0.185,0.333,
0.063,0.06,0.048,0.001,0.06,0.021,0.014,0.159,0.078,0,0.251,0.102539,-0.054932,0.371552,-0.148773,0.161438,0.825,normal,0.171,0.048,0.144,0.159,0.333,
0.032,0.066,0.035,0.001,0.059,0.032,0.108,0.05,0.117,0,0.275,0.077057,-0.035095,1.14365,-0.594025,0.150604,1.054,normal,0.133,0.035,0.235,0.05,0.367,
8,0.042,0.05,0.007,0.001,0.06,0.031,0.079,0.006,0.118,0,0.203,0.097809,-0.083313,1.194,-0.68161,0.151367,0.729,stroke,0.099,0.007,0.178,0.006,0.295
0.031,0.062,0.051,0.018,0.03,0.037,0.014,0.001,0.199,0,0.214,0.090332,-0.135498,1.15921,-0.258789,0.217438,1.047,normal,0.144,0.051,0.15,0.001,0.299,
29,0.031,0.031,0.081,0.002,0.054,0.032,0.083,0.047,0.078,0,0.208,0.010223,-0.026245,1.15234,-0.373077,0.156403,0.695,stroke,0.143,0.081,0.252,0.047,0.296
5,0.034,0.041,0.045,0.001,0.058,0.026,0.033,0.144,0.044,0,0.221,0.090332,-0.063782,0.438995,-0.219421,0.151215,0.719,stroke,0.12,0.045,0.163,0.144,0.306
38,0.05,0.059,0.043,0.002,0.057,0.025,0.068,0.152,0.031,0,0.251,0.142059,-0.07309,0.641327,-0.351257,0.09552,0.7,stroke,0.152,0.043,0.195,0.152,0.335
24,0.031,0.031,0.072,0.001,0.054,0.033,0.014,0.022,0.2,0,0.236,0.078125,-0.034027,1.31653,-0.307465,0.335083,1.2,stroke,0.134,0.072,0.174,0.022,0.324
0.047,0.052,0.096,0.009,0.031,0.024,0.046,0.17,0.031,0,0.247,0.04425,-0.011749,0.684052,-0.524902,0.07843,0.864,normal,0.195,0.096,0.206,0.17,0.311,
0.041,0.03,0.061,0.001,0.06,0.026,0.06,0.143,0.033,0,0.236,0.107574,-0.038147,0.718384,-0.496063,0.151672,0.881,normal,0.132,0.061,0.208,0.143,0.323,
73,0.039,0.045,0.047,0.017,0.03,0.047,0.2,,0.2,0,0.232,0.105438,-0.116882,1.14441,-0.273438,0.219879,0.828,stroke,0.131,0.047,0.341,,
60,0.035,0.059,0.015,0.001,0.059,0.032,0.168,0.315,0.034,0,0.517,0.11261,0.040131,0.449677,-0.826263,0.658875,0.927,stroke,0.109,0.015,0.275,0.315,0.609
0.04,0.065,0.067,0.015,0.025,0.049,0.089,0.066,0.062,0,0.217,0.083466,-0.140991,0.903473,-0.183105,0.136871,0.801,normal,0.172,0.067,0.245,0.066,0.306,
33,0.032,0.066,0.079,0.016,0.029,0.028,0.093,0.049,0.105,0,0.247,0.083008,-0.101166,1.79779,-0.691376,0.320129,1.151,stroke,0.177,0.079,0.245,0.049,0.32
61,0.05,0.042,0.051,0.001,0.06,0.03,0.05,0.138,0.033,0,0.221,0.105286,-0.055847,0.70816,-0.459137,0.102692,0.968,stroke,0.143,0.051,0.192,0.138,0.312
0.038,0.059,0.108,0.009,0.026,0.023,0.041,0.144,0.053,0,0.238,0.056305,-0.03891,0.498199,-0.260925,0.117493,0.889,normal,0.205,0.108,0.207,0.144,0.296,
56,0.031,0.048,0.073,0.007,0.036,0.027,0.114,0.078,0.048,0,0.24,0.071259,-0.004425,1.03058,-0.617523,0.11261,0.964,stroke,0.152,0.073,0.257,0.078,0.31
21,0.031,0.03,0.082,0.001,0.06,0.033,0.082,0.058,0.077,0.067,0.217,0.027313,-0.036469,1.11099,-0.371552,0.183258,0.702,stroke,0.143,0.082,0.258,0.058,0.378
0.05,0.058,0.017,0.031,0.026,0.199,,0.2,0,0.246,0.071106,-0.106049,1.98944,-0.620575,0.21759,0.834,normal,0.141,0.058,0.331,,,,
0.03,0.046,0.074,0.009,0.031,0.027,0.066,0.089,0.096,0,0.251,0.085297,-0.046234,0.808716,-0.358887,0.283508,0.986,normal,0.15,0.074,0.207,0.089,0.318,
51,0.046,0.032,0.145,0.015,0.029,0.026,0.037,0.005,0.036,0,0.078,0.061035,-0.04364,0.818787,-0.584412,0.13443,1.078,stroke,0.223,0.145,0.252,0.005,0.148
0.03,0.03,0.12,0.009,0.037,0.03,0.008,0.203,0.03,0,0.241,0.093842,-0.045471,2.25449,-0.569458,0.237579,0.866,normal,0.18,0.12,0.204,0.203,0.317,
0.041,0.03,0.039,0.001,0.059,0.03,0.046,0.152,0.03,0,0.228,0.102386,-0.071106,0.725861,-0.538025,0.102234,0.817,normal,0.11,0.039,0.175,0.152,0.318,
0.045,0.031,0.001,0.059,0.022,0.03,0.13,0.031,0,0.191,0.077972,-0.061645,0.534058,-0.337219,0.037079,0.736,normal,0.121,0.031,0.143,0.13,0.273,,
0.031,0.042,0.083,0.001,0.059,0.053,0.098,0.035,0.09,0,0.223,0.141907,-0.026093,1.75095,-0.491333,0.251923,0.972,normal,0.156,0.083,0.294,0.035,0.336,
0.03,0.03,0.019,0.008,0.051,0.02,0.024,0.168,0.03,0,0.222,0.041351,-0.02182,0.791473,-0.531616,0.395508,0.689,normal,0.079,0.019,0.122,0.168,0.301,
41,0.031,0.031,0.111,0.002,0.035,0.074,0.044,0.131,0.031,0,0.206,0.102539,-0.008545,0.412292,-0.160217,0.193024,0.963,stroke,0.173,0.111,0.266,0.131,0.317
0.03,0.062,0.082,0.002,0.044,0.031,0.052,0.142,0.039,0,0.233,0.092194,-0.023715,0.708275,-0.269887,0.102768,0.785,normal,0.174,0.082,0.211,0.142,0.31,
0.03,0.044,0.057,0.011,0.034,0.028,0.044,0.137,0.03,0,0.211,0.127106,-0.099793,0.583191,-0.434723,0.109863,0.821,normal,0.131,0.057,0.174,0.137,0.284,
0.055,0.031,0.064,0.001,0.06,0.032,0.061,0.155,0.032,0,0.248,0.0666,-0.027486,0.908794,-0.317385,0.162914,1.111,normal,0.15,0.064,0.218,0.155,0.341,
0.03,0.059,0.041,0.009,0.027,0.032,0.034,0.167,0.03,0,0.231,0.084991,-0.075684,0.924072,-0.393066,0.034638,1.082,normal,0.13,0.041,0.143,0.167,0.299,
0.033,0.054,0.046,0.001,0.059,0.024,0.068,0.151,0.052,0,0.271,0.063782,-0.016785,0.670776,-0.452881,0.094757,0.969,normal,0.133,0.046,0.198,0.151,0.355,
0.058,0.089,0.001,0.059,0.023,0.071,0.199,0.033,0,0.303,0.068359,-0.019226,0.703125,-0.475464,0.056458,0.97,normal,0.184,0.089,0.243,0.199,0.386,,
0.066,0.05,0.001,0.059,0.027,0.042,0.146,0.047,0,0.235,0.095062,-0.030518,1.34842,-0.960541,0.1297,0.97,normal,0.161,0.05,0.179,0.146,0.322,,
47,0.035,0.048,0.07,0.001,0.059,0.038,0.07,0.072,0.047,0.106,0.189,0.072937,-0.016632,0.304718,-0.304871,0.186157,0.838,stroke,0.153,0.07,0.238,0.072,0.393
23,0.041,0.043,0.06,0.004,0.056,0.03,0.077,0.103,0.044,0,0.224,0.083008,-0.031433,1.24313,-0.627747,0.175476,0.997,stroke,0.144,0.06,0.227,0.103,0.314
75,0.031,0.033,0.103,0.003,0.04,0.028,0.004,,0.031,0,0.029,0.019837,0.001526,0.050354,-0.016785,0.018311,0.746,stroke,0.167,0.103,0.178,,
0.051,0.062,0.04,0.011,0.032,0.032,0.081,0.015,0.142,0,0.238,0.163727,-0.089874,1.30524,-0.559845,0.290985,0.935,normal,0.153,0.04,0.196,0.015,0.313,
0.032,0.041,0.081,0.013,0.029,0.027,0.008,0.194,0.081,0,0.283,0.05127,-0.045776,0.87677,-0.155792,0.139008,0.984,normal,0.154,0.081,0.158,0.194,0.352,
20,0.03,0.046,0.022,0.007,0.055,0.029,0.046,0.166,0.03,0,0.242,0.085449,-0.083008,1.24039,-0.736389,0.107117,0.965,stroke,0.098,0.022,0.159,0.166,0.333
0.04,0.049,0.089,0.009,0.029,0.029,0.078,0.114,0.044,0,0.236,0.065781,-0.043759,0.843071,-0.488634,0.056965,1.016,normal,0.178,0.089,0.234,0.114,0.303,
0.052,0.033,0.001,0.06,0.036,0.033,0.304,0.048,0,0.385,0.088043,-0.061645,1.11511,-0.552521,0.056152,0.799,normal,0.125,0.033,0.163,0.304,0.482,,
0.044,0.046,0.175,0.001,0.056,0.026,0.025,0.139,0.077,0,0.241,0.057831,0.014191,0.73288,-0.217285,0.151825,0.947,normal,0.265,0.175,0.283,0.139,0.324,
38,0.033,0.063,0.069,0.001,0.06,0.039,0.007,0.237,0.039,0,0.283,0.061035,-0.038757,0.901184,-0.175476,0.061645,0.944,stroke,0.165,0.069,0.176,0.237,0.383
0.031,0.068,0.009,0.029,0.025,0.04,0.183,0.031,0,0.254,0.086822,-0.126495,2.15164,-0.795898,0.197449,0.86,normal,0.14,0.068,0.171,0.183,0.317,,
52,0.041,0.063,0.024,0.001,0.059,0.026,0.025,0.101,0.113,0,0.239,0.077924,-0.048341,1.341,-0.591678,0.199909,1.071,stroke,0.128,0.024,0.135,0.101,0.325
0.059,0.068,0.027,0.015,0.036,0.031,0.064,0.133,0.05,0,0.247,0.108715,-0.066382,1.11497,-0.424453,0.158516,0.795,normal,0.154,0.027,0.173,0.133,0.329,
0.042,0.054,0.03,0.009,0.059,0.029,0.054,0.149,0.032,0,0.235,0.070953,-0.036774,0.921173,-0.670624,0.195465,0.888,normal,0.126,0.03,0.181,0.149,0.332,
0.037,0.054,0.045,0.019,0.03,0.055,0.001,0.002,0.184,0,0.187,0.087738,-0.155792,1.13678,-0.23941,0.190582,0.841,normal,0.136,0.045,0.15,0.002,0.291,
7,0.031,0.071,0.038,0.009,0.031,0.024,0.071,0.156,0.071,0,0.298,0.070953,-0.133057,0.706177,-0.656128,0.136566,0.794,stroke,0.14,0.038,0.173,0.156,0.362
0.03,0.03,0.146,0.001,0.058,0.123,0.003,0.089,0.032,0,0.124,0.012207,0,0.013733,-0.001526,0.03357,0.704,normal,0.206,0.146,0.331,0.089,0.306,
0.046,0.061,0.001,0.001,0.059,0.026,0.039,0.166,0.032,0,0.237,0.102692,-0.092163,0.811462,-0.530243,0.089874,0.848,normal,0.108,0.001,0.126,0.166,0.323,
0.03,0.03,0.104,0.007,0.051,0.03,0.015,0.2,0.03,0,0.245,0.087128,-0.031281,0.902252,-0.393219,0.305786,0.894,normal,0.164,0.104,0.207,0.2,0.333,
0.03,0.03,0.053,0.008,0.059,0.023,0.013,0.233,0.03,0,0.276,0.129089,-0.082703,0.666046,-0.409088,0.219574,0.908,normal,0.113,0.053,0.156,0.233,0.366,
5,0.03,0.03,0.06,0.004,0.056,0.028,0.059,0.171,0.03,0,0.26,0.114746,-0.051422,0.762482,-0.548553,0.129242,1.027,stroke,0.12,0.06,0.207,0.171,0.348
0.03,0.03,0.069,0.008,0.055,0.045,0.012,0.133,0.03,0,0.175,0.065765,-0.04776,1.00784,-0.310364,0.083008,0.793,stroke,0.129,0.069,0.189,0.133,0.283,
0.031,0.037,0.07,0.011,0.029,0.026,0.2,,0.2,0,0.248,0.107269,-0.077515,1.76178,-0.615845,0.193329,1.002,normal,0.138,0.07,0.336,,,
54,0.041,0.041,0.082,0.002,0.057,0.022,0.083,0.249,0.032,0,0.364,0.048523,-0.00473,1.61087,-0.886993,0.080719,1.06,stroke,0.164,0.082,0.246,0.249,0.445
62,0.031,0.045,0.254,0.013,0.026,0.028,0.157,0.346,0.031,0,0.534,0.071106,-0.092316,1.5625,-0.606384,1.57944,0.561,stroke,0.33,0.254,0.478,0.346,0.601
3,0.031,0.033,0.094,0.001,0.059,0.028,0.075,0.139,0.031,0,0.245,0.048828,-0.04364,0.86319,-0.359344,0.094757,0.945,stroke,0.158,0.094,0.257,0.139,0.333
20,0.038,0.032,0.119,0.01,0.029,0.031,0.117,0.045,0.057,0,0.219,0.058899,-0.058136,1.41678,-0.544281,0.093079,0.806,stroke,0.189,0.119,0.306,0.045,0.289
0.073,0.061,0.102,0.002,0.057,0.047,0.005,0.114,0.066,0,0.185,0.11734,-0.041504,0.813904,-0.25116,0.1297,0.45,normal,0.236,0.102,0.213,0.114,0.291,
25,0.032,0.048,0.093,0.008,0.037,0.026,0.001,0.168,0.041,0,0.21,0.071106,-0.00946,1.01685,-0.300446,0.203094,1.075,stroke,0.173,0.093,0.165,0.168,0.281
29,0.048,0.066,0.042,0.006,0.033,0.031,0.042,0.148,0.032,0,0.222,0.055847,-0.07309,0.409851,-0.560303,0.076904,0.749,stroke,0.156,0.042,0.154,0.148,0.292
25,0.033,0.069,0.044,0.022,0.034,0.037,0.145,0.106,0.03,0,0.281,0.073547,-0.212708,1.37268,-0.437469,0.131989,1.053,stroke,0.146,0.044,0.282,0.106,0.374
0.053,0.054,0.048,0.016,0.027,0.053,0.061,,0.061,0,0.061,0.066376,-0.067444,0.803223,-0.528107,0.185852,0.851,normal,0.155,0.048,0.205,,,
0.055,0.063,0.055,0.001,0.06,0.022,0.069,0.147,0.043,0,0.259,0.085449,-0.034943,1.29318,-0.960541,0.166168,1.154,normal,0.173,0.055,0.207,0.147,0.342,
0.031,0.05,0.091,0.011,0.028,0.039,0.105,0.007,0.062,0,0.174,0.056305,-0.091858,1.44394,-0.486298,0.088196,0.717,stroke,0.172,0.091,0.274,0.007,0.252,
1,0.039,0.038,0.077,0.002,0.059,0.023,0.063,0.148,0.046,0,0.257,0.048828,-0.005341,0.755005,-0.3685,0.080719,0.891,stroke,0.154,0.077,0.224,0.148,0.341
40,0.032,0.054,0.028,0.007,0.059,0.034,0.102,0.011,0.108,0,0.221,0.110016,-0.036469,1.20682,-0.52063,0.161133,0.925,stroke,0.114,0.028,0.23,0.011,0.321
0.043,0.041,0.095,0.002,0.049,0.025,0.11,0.001,0.126,0,0.237,0.11261,-0.012207,1.2413,-0.454865,0.393524,0.99,normal,0.179,0.095,0.281,0.001,0.313,
16,0.049,0.077,0.074,0.013,0.032,0.027,0.017,0.188,0.044,0,0.249,0.046387,-0.031433,0.663452,-0.233765,0.102844,0.72,stroke,0.2,0.074,0.163,0.188,0.321
43,0.065,0.037,0.04,0.001,0.059,0.026,0.082,0.024,0.141,0,0.247,0.107574,-0.016327,1.21399,-0.497131,0.232239,0.894,stroke,0.142,0.04,0.208,0.024,0.333
0.038,0.074,0.018,0.001,0.06,0.028,0.046,0.001,0.053,0,0.1,0.071106,-0.044403,0.613098,-0.415039,0.068207,0.915,normal,0.13,0.018,0.153,0.001,0.189,
0.045,0.052,0.065,0.018,0.023,0.025,0.199,,0.199,0,0.219,0.066223,-0.209656,1.33972,-0.231934,0.134583,0.623,normal,0.162,0.065,0.33,,,
37,0.064,0.058,0.054,0.001,0.06,0.025,0.038,0.176,0.033,0,0.247,0.061035,-0.026703,0.440674,-0.437317,0.063477,0.95,stroke,0.176,0.054,0.178,0.176,0.333
34,0.036,0.057,0.02,0.001,0.06,0.033,0.133,0.006,0.062,0,0.201,0.051422,-0.065613,0.738525,-0.33432,0.058746,0.809,stroke,0.113,0.02,0.247,0.006,0.295
24,0.041,0.031,0.122,0.024,0.023,0.045,0.003,0.181,0.034,0,0.218,0.071106,-0.122223,0.749054,-0.12207,0.087891,1.695,stroke,0.194,0.122,0.217,0.181,0.31
32,0.031,0.031,0.184,0.021,0.035,0.023,0.065,0.037,0.073,0,0.175,0.029907,-0.014038,0.823517,-0.391541,0.082855,0.465,stroke,0.246,0.184,0.328,0.037,0.254
16,0.042,0.038,0.15,0.014,0.03,0.025,0.032,0.011,0.033,0,0.076,0.115051,-0.036926,0.75882,-0.584106,0.131989,1.063,stroke,0.23,0.15,0.251,0.011,0.145
59,0.037,0.048,0.013,0.001,0.059,0.031,0.2,,0.2,0,0.207,0.10498,-0.075989,1.1969,-0.698547,0.144501,0.725,stroke,0.098,0.013,0.304,,
0.031,0.031,0.119,0.008,0.056,0.044,0.008,0.203,0.031,0,0.242,0.119324,-0.049439,1.38641,-0.350189,0.233459,0.93,normal,0.181,0.119,0.235,0.203,0.35,
0.031,0.057,0.047,0.002,0.06,0.021,0.013,0.169,0.075,0,0.257,0.099793,-0.054016,0.380554,-0.139313,0.159302,0.851,normal,0.135,0.047,0.143,0.169,0.34,
0.041,0.063,0.06,0.01,0.029,0.031,0.081,0.096,0.096,0,0.273,0.072022,-0.02243,1.16516,-0.589447,0.15976,1.062,normal,0.164,0.06,0.211,0.096,0.343,
7,0.034,0.049,0.006,0.001,0.059,0.03,0.021,0.103,0.082,0,0.206,0.122223,-0.058746,1.19843,-0.692902,0.129547,0.731,stroke,0.089,0.006,0.117,0.103,0.296
0.032,0.032,0.087,0.013,0.035,0.034,0.002,0.106,0.101,0,0.209,0.095215,-0.126343,1.1145,-0.281067,0.220337,1.044,normal,0.151,0.087,0.171,0.106,0.291,
29,0.031,0.031,0.081,0.002,0.054,0.032,0.083,0.047,0.078,0,0.208,0.010223,-0.026245,1.15234,-0.373077,0.156403,0.695,stroke,0.143,0.081,0.252,0.047,0.296
5,0.034,0.041,0.045,0.001,0.058,0.026,0.033,0.144,0.044,0,0.221,0.090332,-0.063782,0.438995,-0.219421,0.151215,0.719,stroke,0.12,0.045,0.163,0.144,0.306
38,0.05,0.059,0.043,0.002,0.057,0.025,0.068,0.152,0.031,0,0.251,0.142059,-0.07309,0.641327,-0.351257,0.09552,0.7,stroke,0.152,0.043,0.195,0.152,0.335
23,0.034,0.056,0.053,0.006,0.036,0.033,0.015,0.019,0.2,0,0.234,0.049133,-0.028687,1.40457,-0.339203,0.345001,1.177,stroke,0.143,0.053,0.143,0.019,0.309
0.038,0.051,0.096,0.008,0.032,0.023,0.044,0.167,0.041,0,0.252,0.063477,-0.028687,0.644531,-0.492706,0.080566,1.027,normal,0.185,0.096,0.203,0.167,0.315,
0.042,0.051,0.045,0.001,0.06,0.027,0.068,0.143,0.032,0,0.243,0.095367,-0.032044,0.730896,-0.500946,0.15152,0.897,normal,0.138,0.045,0.201,0.143,0.331,
72,0.048,0.044,0.049,0.017,0.029,0.045,0.2,,0.2,0,0.231,0.102539,-0.114594,1.18301,-0.275574,0.224915,0.826,stroke,0.141,0.049,0.34,,
60,0.035,0.059,0.015,0.001,0.059,0.032,0.168,0.315,0.034,0,0.517,0.11261,0.040131,0.449677,-0.826263,0.658875,0.927,stroke,0.109,0.015,0.275,0.315,0.609
0.037,0.069,0.068,0.014,0.025,0.046,0.002,0.015,0.2,0,0.217,0.08316,-0.126495,0.947571,-0.19516,0.137024,0.794,normal,0.174,0.068,0.155,0.015,0.302,
33,0.032,0.066,0.079,0.016,0.029,0.028,0.093,0.049,0.105,0,0.247,0.083008,-0.101166,1.79779,-0.691376,0.320129,1.151,stroke,0.177,0.079,0.245,0.049,0.32
61,0.05,0.042,0.051,0.001,0.06,0.03,0.05,0.138,0.033,0,0.221,0.105286,-0.055847,0.70816,-0.459137,0.102692,0.968,stroke,0.143,0.051,0.192,0.138,0.312
0.033,0.06,0.081,0.009,0.025,0.023,0.043,0.146,0.046,0,0.235,0.058899,-0.045929,0.502777,-0.280457,0.10025,0.893,normal,0.174,0.081,0.181,0.146,0.292,
56,0.031,0.048,0.073,0.007,0.036,0.027,0.114,0.078,0.048,0,0.24,0.071259,-0.004425,1.03058,-0.617523,0.11261,0.964,stroke,0.152,0.073,0.257,0.078,0.31
20,0.031,0.066,0.04,0.001,0.06,0.033,0.183,0.001,0.032,0.075,0.216,0.035095,-0.024261,0.9758,-0.329742,0.202942,0.709,stroke,0.137,0.04,0.317,0.001,0.385
0.032,0.057,0.013,0.031,0.026,0.199,,0.2,0,0.239,0.073853,-0.082397,1.94885,-0.623169,0.21286,0.837,normal,0.133,0.057,0.326,,,,
0.032,0.052,0.064,0.013,0.03,0.026,0.072,0.1,0.087,0,0.259,0.097809,-0.036316,0.856476,-0.36377,0.276337,0.978,normal,0.148,0.064,0.205,0.1,0.328,
51,0.046,0.032,0.145,0.015,0.029,0.026,0.037,0.005,0.036,0,0.078,0.061035,-0.04364,0.818787,-0.584412,0.13443,1.078,stroke,0.223,0.145,0.252,0.005,0.148
0.031,0.031,0.085,0.008,0.054,0.03,0.008,0.235,0.03,0,0.273,0.126953,-0.068054,2.08908,-0.547485,0.220642,1.246,normal,0.147,0.085,0.185,0.235,0.365,
0.04,0.031,0.041,0.006,0.051,0.028,0.047,0.154,0.03,0,0.231,0.095215,-0.072022,0.756836,-0.581818,0.092468,0.826,normal,0.112,0.041,0.173,0.154,0.316,
0.044,0.03,0.002,0.059,0.022,0.03,0.134,0.031,0,0.195,0.072327,-0.068665,0.574799,-0.33905,0.037079,0.727,normal,0.13,0.03,0.143,0.134,0.278,,
0.042,0.052,0.075,0.001,0.056,0.047,0.091,0.001,0.129,0,0.221,0.144348,-0.031586,1.74805,-0.493774,0.261536,0.953,normal,0.169,0.075,0.27,0.001,0.325,
0.03,0.03,,0.008,0.045,0.022,0.026,0.184,0.03,0,0.24,0.067291,0.010071,0.845337,-0.585022,0.393524,0.809,normal,,,,0.184,0.315,
40,0.035,0.031,0.089,0.008,0.041,0.043,0.023,0.156,0.037,0,0.216,0.135651,-0.006866,0.366516,-0.177765,0.182648,0.96,stroke,0.155,0.089,0.204,0.156,0.308
0.03,0.062,0.071,0.001,0.059,0.031,0.04,0.125,0.054,0,0.219,0.09179,-0.025004,0.720734,-0.278268,0.094313,0.773,normal,0.163,0.071,0.202,0.125,0.31,
0.03,0.044,0.038,0.001,0.06,0.029,0.049,0.183,0.03,0,0.262,0.129089,-0.095825,0.583954,-0.410767,0.129547,0.826,normal,0.112,0.038,0.177,0.183,0.352,
0.031,0.03,0.066,0.001,0.06,0.032,0.093,0.09,0.065,0,0.248,0.078007,-0.03741,0.926722,-0.333376,0.16218,1.089,normal,0.127,0.066,0.252,0.09,0.341,
0.03,0.03,0.082,0.001,0.027,0.032,0.033,0.184,0.03,0,0.247,0.08255,-0.070648,0.918579,-0.417938,0.048675,0.819,normal,0.142,0.082,0.175,0.184,0.307,
0.043,0.04,0.062,0.001,0.06,0.024,0.071,0.156,0.039,0,0.266,0.056152,-0.011902,0.664825,-0.447388,0.090485,0.915,normal,0.145,0.062,0.218,0.156,0.351,
0.058,0.089,0.001,0.06,0.023,0.036,0.219,0.038,0,0.293,0.063629,-0.024261,0.712891,-0.478058,0.056305,0.952,normal,0.183,0.089,0.209,0.219,0.377,,
0.053,0.049,0.001,0.059,0.026,0.047,0.142,0.058,0,0.247,0.09079,-0.035553,1.32996,-0.958252,0.144348,1,normal,0.167,0.049,0.182,0.142,0.333,,
47,0.035,0.048,0.07,0.001,0.059,0.038,0.07,0.072,0.047,0.106,0.189,0.072937,-0.016632,0.304718,-0.304871,0.186157,0.838,stroke,0.153,0.07,0.238,0.072,0.393
22,0.032,0.041,0.06,0.003,0.06,0.029,0.075,0.085,0.062,0,0.222,0.089722,-0.019531,1.41235,-0.671997,0.190582,1,stroke,0.133,0.06,0.227,0.085,0.314
